Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Doom Troopers,1995,2.9,n/a,Action -Platformer -2D,"Doomtrooper, also known as Doom Trooper, is an out-of-print collectible card game designed by Bryan Winter and was released in January 1995. It was originally published by Target Games and Heartbreaker Hobbies. It is based on concepts from the Mutant Chronicles franchise. Players use warriors to attack and gain either Promotion Points or Destiny Points. Promotion points can be used to win; Destiny Points are used to purchase more warriors and equipment. There are 13 different card types and over 1100 different cards available.",https://images.launchbox-app.com/6ac05355-290f-4ebe-a751-6dbaa75072cd.jpg
Flicky,1991,2.88,n/a,Action -Platformer -2D,"Flicky is a platform game developed by Sega and released in arcades in May 1984. In Flicky, the player controls the eponymous blue bird and must gather all the small birds called Chirps in each round and bring them safely to the exit. There are cat and lizard enemies which can disperse the Chirps and kill the player, but Flicky can use items on the playing field to protect herself and the Chirps from danger.",https://images.launchbox-app.com/flicky.png
AAAHH!!! Real Monsters,1995-09-15,2.87,n/a,Action -Platformer -2D,Aaahh!!! Real Monsters is an action-adventure platformer video game developed by Realtime Associates and published by Viacom New Media in 1995 for the Sega Genesis and SNES based on the American cartoon series of the same name on Nickelodeon.,https://images.launchbox-app.com/9daf3c59-644e-4e3f-95d2-9552fe9bff50.jpg
Last Battle,1989,2.84,n/a,Action -Beat-'Em-Up -2D,"Last Battle is a side-scrolling martial arts beat 'em up released for the Mega Drive/Genesis in 1989 by Sega. It was one of the six games that were available as part of the Genesis launch lineup in the U.S. The Japanese version, titled Shin Seikimatsu Kyūseishu Densetsu: Hokuto no Ken (新世紀末救世主伝説 北斗の拳, lit. ""Fist of the North Star: The New Legend of the Post-Apocalyptic Messiah""), is based on the manga series Hokuto no Ken (published as Fist of the North Starin English). Since the international version did not retain the Hokuto no Ken license, the graphics and characters' names were altered. It was the second Hokuto no Ken game released by Sega, following the Mark III original (released internationally as Black Belt). Versions for the Commodore 64 and Amiga based upon Last Battle were developed and released by Elite in Europe in 1991.",https://images.launchbox-app.com/b2592346-1f3f-4f8b-afe2-9490c78bbc34.jpg
The Incredible Hulk,1994,2.84,n/a,Action -Platformer -2D,"The Incredible Hulk is a video game based on the Marvel superhero Hulk and the 2008 film. The console and Nintendo DS versions were released on June 5, 2008 and the PC version was released on June 10, 2008. Edge of Reality developed the console and PC versions while Amaze Entertainment developed the Nintendo DS version of the game.",https://images.launchbox-app.com/d3bed6e7-6495-469e-ab24-81fcb5200709.jpg
ClayFighter,1994,2.84,n/a,Action -Fighting -2D,"ClayFighter is a fighting game released for the Super Nintendo in November 1993 and later ported to Sega Mega Drive/Genesis in June 1994. The game is a parody of Street Fighter. In 2009, it was re-released on the Nintendo Wii Virtual Console.",https://images.launchbox-app.com/b461d2ca-78f2-4a9d-aaa9-928e5129b1e3.jpg
James Bond 007: The Duel,1993,2.82,n/a,Action -Platformer -2D,"James Bond 007: The Duel is a 1993 action video game featuring the character of the British secret agent James Bond. It was developed by The Kremlin and published by Domark for Sega's Mega Drive/Genesis and Master System video game consoles, and the Game Gear handheld game console. The Mega Drive version was also released in Japan by Tengen on 14 May 1993, under the title known as 007 Shitō (００７・死闘).",https://images.launchbox-app.com/af16f197-575c-4b3f-a8c3-0173337e1f3a.jpg
James Pond: Underwater Agent,1991,2.81,n/a,Action -Platformer -2D,"James Pond: Underwater Agent is a platform video game that was developed by British video game developers Vectordean Ltd and Millennium Interactive, and published by Millennium Interactive and Electronic Arts for numerous home computers and consoles in 1990. The character was featured in some comic books of the time, and the game spawned three sequels and one spin-off game.",https://images.launchbox-app.com/9978c691-282f-4d06-b175-eb8c5f3947f2.jpg
Disney's Ariel: The Little Mermaid,1992,2.78,n/a,Action Adventure -General,"Disney's Ariel the Little Mermaid, usually shorted to simply Ariel the Little Mermaid, is a 1992 video game developed by Blue Sky Software for the Sega Genesis, Game Gear and Master System, based on the 1989 film The Little Mermaid.",https://images.launchbox-app.com/d37cd279-2a87-4ca3-9874-9459269ffc92.jpg
Virtua Fighter 2,1997,2.76,n/a,Action -Fighting -3D,"Virtua Fighter 2 (Japanese: バーチャファイター2 Hepburn: Bācha Faitā Tsū) is a fighting video game developed by Sega. It is the sequel to Virtua Fighter and the second game in the Virtua Fighterseries. It was created by Sega's Yu Suzuki-headed AM2 and was released in the arcade in 1994. It was ported to the Sega Saturn in 1995 and Microsoft Windows in 1997. In 1996, a super deformedversion of the game, Virtua Fighter Kids, arrived in arcades and was ported to the Sega Saturn. A 2D remake was released for the Mega Drive/Genesis in 1996. In addition, Virtua Fighter 2 was converted for the PlayStation 2 in 2004 as part of Sega's Ages 2500 series in Japan. The Mega Drive/Genesis port was re-released on the PS2 and PSP in 2006 as part of Sega Genesis Collection, on the Virtual Console for the Wii on March 20, 2007 (Japan) and April 16, 2007 (North America), and for iOS on January 20, 2011.",https://images.launchbox-app.com/f0dddebe-95a7-4ad1-8311-c2f1879d4e7b.png
Super Hydlide,Apr-90,2.75,n/a,Role-Playing -Action RPG,"Super Hydlide is an action role-playing game for the Sega Genesis/Mega Drive. It was originally released in 1987 in Japan only under the title Hydlide 3: The Space Memories (ハイドライド３ 闇からの訪問者 Haidoraido 3: Yami Kara no Hōmonsha) for the MSX, MSX2, and NEC PC-88. Ports were also released for the Nintendo Famicom and the Sharp X68000. The game was developed by Hydlide series veterans T&E Soft and released worldwide on the Sega Genesis / Mega Drive on October 6, 1989, in Japan, early 1990 in the United States, and 1991 in Europe. This remake evidences substantial graphical upgrades to the original Hydlide 3, though the gameplay remains largely identical. Before its release, it was called Hollo Fighter in some Sega advertising material and was one of the first third party published titles to be released in the U.S, the other being Air Diver.",https://images.launchbox-app.com/f58fd21f-adb4-492b-af33-e42fae0964df.jpg
The Pagemaster,1994,2.73,n/a,Action -Platformer -2D,"The Pagemaster is a video game released in conjunction with the 1994 film The Pagemaster. A character can be guided through a selection of literature genre-themed levels, ranging from horror to adventure and fantasy worlds. Magic can be used, and stomping enemies to death by jumping on their heads is permitted. Enemies include bats, flying books, giant hands, ghosts, pirates, and more. The PC version of the game is completely different; it is an interactive adventure game that has a plot unrelated to that of the movie",https://images.launchbox-app.com/18e2a792-83a9-47bd-b407-358778077906.png
Terminator 2: Judgment Day,1991-06-05,2.73,n/a,Action -Platformer -2D,"Terminator 2: Judgment Day (also known as Terminator 2 or T2) is a 1991 American science fiction action film produced and directed by James Cameron, who also co-wrote it with William Wisher. The film stars Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, and Edward Furlong as its principal cast. It is the sequel to the 1984 film The Terminator, as well as the second installment in the Terminatorfranchise. Terminator 2 follows Sarah Connor (Hamilton) and her ten-year-old son John (Furlong) as they are pursued by a new, more advanced Terminator: the liquid metal, shapeshifting T-1000 (Patrick), sent back in time to kill John Connor and prevent him from becoming the leader of the human resistance. A second, less advanced Terminator (Schwarzenegger) is also sent back in time to protect John.",https://images.launchbox-app.com/b652e745-cf52-4290-ab0b-48baa066a4f2.jpg
Asterix and the Great Rescue,Jun-94,2.73,n/a,Action -Platformer -2D,Asterix and the Great Rescue is a video game released by Sega for the Genesis/Mega Drive in 1993 and for the Game Gear and Master System in 1994.,https://images.launchbox-app.com/a9acaaa2-fe4f-4bb4-a11b-5d55f1f03f40.jpg
Spider-Man / X-Men: Arcade's Revenge,": June 24, 1994",2.72,n/a,Action -Platformer -2D,"Spider-Man and the X-Men in Arcade's Revenge is a video gamefirst released for the Super NES in 1992 by LJN. It was later released for the Genesis and Game Gear (under the Flying Edge brand) as well as the Game Boy. The game features Marvel Comics characters Spider-Man and the X-Men as they battle their captor, the villainous Arcade.",https://images.launchbox-app.com/91519cd2-6608-4590-8148-61cfe9cca0a0.jpg
The Simpsons: Bart's Nightmare,1993,2.68,n/a,Action -General,The Simpsons: Bart's Nightmare is a 1992 video game developed by American company Sculptured Software based on the television show The Simpsons. It was released on the SNES and the Sega Genesis.,https://images.launchbox-app.com/3f3dc8f1-d325-4996-aa97-04ac4f93207a.jpg
Pit-Fighter,1991,2.68,n/a,Action -Fighting -2D,"Pit-Fighter is a 1990 arcade fighting game by Atari Games, notable for its early use of digitized live actors. The Japanese arcade release was published by Konami.",https://images.launchbox-app.com/973ed685-60d1-42c8-9cc5-eca23695b4e2.jpg
Shadow of the Beast,1991,2.67,n/a,Action -Platformer -2D,"Shadow of the Beast is a platform game developed by Reflectionsand published by Psygnosis in 1989. The original version was released for the Amiga, and was later ported to many other systems. The game was known for its graphics, with many colours on screen and up to twelve levels of parallax scrolling backdrops, and for its atmospheric score composed by David Whittaker that used high-quality instrument samples.",https://images.launchbox-app.com/2cb29dd2-e03b-468e-bef9-b95d344248d5.jpg
Bubsy II,1994,2.65,n/a,Action -Platformer -2D,"Bubsy 2 is a platform video game, the sequel to Bubsy in Claws Encounters of the Furred Kind, and the second game in the Bubsyseries. It was originally released in 1994 for the Sega Genesis, Super NES, and Game Boy, and re-released for Microsoft Windowsthrough Steam on December 17, 2015.",
The Simpsons: Bart vs. the Space Mutants,1992,2.58,n/a,Action -Platformer -2D,"The Simpsons: Bart vs. the Space Mutants is a platform video game, the first based on the animated television series The Simpsons. It was released in 1991 for the Nintendo Entertainment System, Amiga, Amstrad CPC, Atari ST, Commodore 64, Sega Master System, and ZX Spectrum and in 1992 for Sega Genesis, and Sega Game Gear. It was published by Acclaim Entertainment and Ocean Software, and developed by Imagineering and Arc Developments. In the game, the player controls Bart Simpson through five levels as he tries to ruin the aliens' plan to take over the world. Video game critics have given Bart vs. the Space Mutants mixed reviews, with criticism directed at the difficulty of the game, partly caused by restricted controls.",https://images.launchbox-app.com/e005a316-a1c8-49cc-8871-c1721e5fb6d9.jpg
